,annotator,cell,h,image,label,pk,w,x,y
33,tommy,55494,38,alt_61390.jpg,Normal,3040,44,1386,1518
34,tommy,53513,39,alt_61270.jpg,Normal,3041,37,2301,1639
35,tommy,76067,47,alt_59351.jpg,Normal,3042,45,28,1185
36,tommy,92842,47,alt_49473.jpg,Reject,3043,53,2800,184
37,tommy,90307,39,alt_49473.jpg,Normal,3044,35,1681,2327
38,tommy,97888,37,alt_5294.jpg,Echinocyte,3045,37,891,1880
39,tommy,43146,35,alt_61946.jpg,Normal,3046,35,1537,2610
40,tommy,55494,38,alt_61390.jpg,Normal,3047,44,1386,1518
41,tommy,33764,42,alt_62534.jpg,Normal,3048,38,49,233
42,tommy,55494,38,alt_61390.jpg,Normal,3049,44,1386,1518
43,tommy,54402,40,alt_61270.jpg,Normal,3050,45,1914,444
44,tommy,51881,38,alt_61465.jpg,Normal,3051,38,2638,835
45,tommy,97007,39,alt_5294.jpg,Echinocyte,3052,36,745,2794
46,tommy,88562,39,alt_49976.jpg,Normal,3053,36,1329,1429
47,tommy,34216,41,alt_62383.jpg,Reject,3054,42,2828,2489
48,tommy,54402,40,alt_61270.jpg,Normal,3055,45,1914,444
49,tommy,33764,42,alt_62534.jpg,Normal,3056,38,49,233
50,tommy,70623,48,alt_59591.jpg,Reject,3057,45,1662,896
51,tommy,44254,40,alt_61946.jpg,Normal,3058,40,2649,876
52,tommy,54402,40,alt_61270.jpg,Normal,3059,45,1914,444
53,tommy,97888,37,alt_5294.jpg,Echinocyte,3060,37,891,1880
54,tommy,73980,42,alt_59469.jpg,Normal,3061,35,632,753
55,tommy,34529,36,alt_62383.jpg,Normal,3062,37,2686,2146
56,tommy,33764,42,alt_62534.jpg,Normal,3063,38,49,233
57,tommy,43348,43,alt_61946.jpg,Reject,3064,59,492,2314
58,tommy,47173,44,alt_61873.jpg,Normal,3065,44,208,2655
59,tommy,81354,35,alt_50604.jpg,Normal,3066,45,993,2097
60,tommy,47331,41,alt_61873.jpg,Normal,3067,39,2718,2475
61,tommy,45444,38,alt_61585.jpg,Normal,3068,38,2750,1996
62,tommy,84608,35,alt_50487.jpg,Normal,3069,42,357,835
63,tommy,43003,37,alt_62261.jpg,Reject,3070,40,867,7
64,tommy,66079,30,alt_59830.jpg,Reject,3071,33,1165,898
65,tommy,32005,42,alt_62626.jpg,Normal,3072,39,1997,155
66,tommy,53777,38,alt_61270.jpg,Normal,3073,42,2223,1293
67,tommy,53859,41,alt_61270.jpg,Normal,3074,35,646,1189
68,tommy,95179,47,alt_39177.jpg,Normal,3075,34,679,2826
69,tommy,62514,41,alt_60068.jpg,Normal,3076,39,184,224
70,tommy,28553,38,alt_62977.jpg,Normal,3077,38,870,2307
71,tommy,35834,37,alt_62383.jpg,Normal,3078,37,2657,650
72,tommy,65724,42,alt_59830.jpg,Normal,3079,42,2102,1341
73,tommy,51492,40,alt_61465.jpg,Normal,3080,39,232,1293
74,tommy,73700,36,alt_59469.jpg,Normal,3081,35,2026,1003
75,tommy,78711,37,alt_58500.jpg,Normal,3082,39,224,2812
76,tommy,100738,41,alt_5419.jpg,Echinocyte,3083,45,1812,1277
77,tommy,78715,38,alt_58500.jpg,Reject,3084,38,2361,2809
78,tommy,86324,40,alt_50220.jpg,Normal,3085,37,112,1447
79,tommy,87007,38,alt_50220.jpg,Normal,3086,38,1396,549
80,tommy,38998,47,alt_62184.jpg,Normal,3087,43,1331,2560
81,tommy,35834,37,alt_62383.jpg,Normal,3088,37,2657,650
82,tommy,55494,38,alt_61390.jpg,Normal,3089,44,1386,1518
83,tommy,60634,39,alt_60068.jpg,Normal,3090,45,2801,2429
84,tommy,73980,42,alt_59469.jpg,Normal,3091,35,632,753
85,tommy,45298,35,alt_61585.jpg,Normal,3092,36,2727,2192
86,tommy,38811,42,alt_62184.jpg,Normal,3093,49,2055,2774
87,tommy,88700,39,alt_49976.jpg,Normal,3094,41,1585,1266
88,tommy,98428,61,alt_5294.jpg,Echinocyte,3095,42,336,1312
89,tommy,98527,42,alt_5294.jpg,Echinocyte,3096,41,2790,1210
90,tommy,100789,48,alt_5419.jpg,Echinocyte,3097,45,1190,1198
91,tommy,63872,45,alt_59722.jpg,Echinocyte,3098,40,2605,986
92,tommy,79956,41,alt_58500.jpg,Normal,3099,41,2232,1092
93,tommy,51919,42,alt_61465.jpg,Reject,3100,39,2273,798
94,tommy,32860,42,alt_62534.jpg,Normal,3101,40,1773,1602
95,tommy,96432,43,alt_39177.jpg,Normal,3102,37,1876,867
96,tommy,92398,39,alt_49473.jpg,Normal,3103,43,877,555
97,tommy,38998,47,alt_62184.jpg,Normal,3104,43,1331,2560
98,tommy,75040,43,alt_59351.jpg,Normal,3105,42,2753,2625
99,tommy,86959,39,alt_50220.jpg,Normal,3106,46,2823,614
100,tommy,51182,42,alt_61465.jpg,Normal,3107,36,2322,1644
101,tommy,73665,33,alt_59469.jpg,Normal,3108,35,2744,1030
102,tommy,38957,34,alt_62184.jpg,Normal,3109,40,1696,2601
103,tommy,101217,46,alt_5419.jpg,Normal,3110,49,1280,516
104,tommy,82666,37,alt_50604.jpg,Schistocyte,3111,36,1881,409
105,tommy,62136,38,alt_60068.jpg,Normal,3112,36,1345,657
106,tommy,30613,41,alt_62626.jpg,Normal,3113,37,1299,2303
107,tommy,30613,41,alt_62626.jpg,Normal,3114,37,1299,2303
108,tommy,73665,33,alt_59469.jpg,Normal,3115,35,2744,1030
109,tommy,78715,38,alt_58500.jpg,Normal,3116,38,2361,2809
110,tommy,53347,37,alt_61270.jpg,Normal,3117,36,2119,1849
111,tommy,40773,34,alt_62184.jpg,Normal,3118,37,2611,284
112,tommy,73980,42,alt_59469.jpg,Normal,3119,35,632,753
113,tommy,73980,42,alt_59469.jpg,Normal,3120,35,632,753
114,tommy,46075,39,alt_61585.jpg,Normal,3121,42,46,1223
115,tommy,40597,40,alt_62184.jpg,Normal,3122,36,1084,502
116,tommy,34096,39,alt_62383.jpg,Normal,3123,39,2484,2624
117,tommy,45815,43,alt_61585.jpg,Normal,3124,45,2035,1547
118,tommy,52079,39,alt_61465.jpg,Normal,3125,43,475,616
119,tommy,86437,55,alt_50220.jpg,Reject,3126,44,2533,1301
120,tommy,35650,41,alt_62383.jpg,Normal,3127,42,784,860
121,tommy,34735,44,alt_62383.jpg,Normal,3128,46,1694,1905
122,tommy,77497,41,alt_52050.jpg,Normal,3129,41,2713,1879
123,tommy,70623,48,alt_59591.jpg,Reject,3130,45,1662,896
124,tommy,30398,40,alt_62626.jpg,Normal,3131,39,437,2656
125,tommy,100720,50,alt_5419.jpg,Echinocyte,3132,51,1523,1305
126,tommy,98349,36,alt_5294.jpg,Echinocyte,3133,38,415,1389
127,tommy,49074,33,alt_61873.jpg,Dacrocyte,3134,51,888,372
128,tommy,72887,31,alt_59469.jpg,Schistocyte,3135,29,1707,1684
129,tommy,50174,40,alt_61465.jpg,Normal,3136,38,1875,2792
130,tommy,66292,38,alt_59830.jpg,Normal,3137,37,805,611
131,tommy,82991,34,alt_50487.jpg,Normal,3138,35,1638,2832
132,tommy,72865,33,alt_59469.jpg,Normal,3139,37,1733,1703
133,tommy,63924,47,alt_59722.jpg,Normal,3140,52,1850,916
134,tommy,45298,35,alt_61585.jpg,Normal,3141,36,2727,2192
135,tommy,83531,35,alt_50487.jpg,Normal,3142,37,1552,2177
136,tommy,38845,38,alt_62184.jpg,Normal,3143,36,2608,2737
137,tommy,73700,36,alt_59469.jpg,Normal,3144,35,2026,1003
138,tommy,98877,52,alt_5294.jpg,Reject,3145,50,1137,876
139,tommy,70623,48,alt_59591.jpg,Reject,3146,45,1662,896
140,tommy,43612,42,alt_61946.jpg,Normal,3147,37,588,1907
141,tommy,58089,49,alt_60381.jpg,Echinocyte,3148,46,298,94
142,tommy,70409,26,alt_59591.jpg,Reject,3149,29,2709,1110
143,tommy,77562,47,alt_52050.jpg,Normal,3150,42,272,1773
144,tommy,79610,38,alt_58500.jpg,Normal,3151,42,1683,1584
145,tommy,51145,38,alt_61465.jpg,Normal,3152,38,2795,1689
146,tommy,92673,39,alt_49473.jpg,Normal,3153,35,1802,333
147,tommy,36750,43,alt_62043.jpg,Normal,3154,43,1429,2390
148,tommy,97803,29,alt_5294.jpg,Acanthocyte,3155,42,256,1972
149,tommy,72406,37,alt_59469.jpg,Normal,3156,35,1656,2089
150,tommy,68586,37,alt_60036.jpg,Normal,3157,36,2642,177
151,tommy,58090,41,alt_60381.jpg,Normal,3158,39,2179,92
152,tommy,73078,34,alt_59469.jpg,Normal,3159,34,1436,1519
153,tommy,93838,50,alt_7191.jpg,Normal,3160,46,1729,1777
154,tommy,84134,35,alt_50487.jpg,Normal,3161,37,2723,1412
155,tommy,53831,39,alt_61270.jpg,Normal,3162,40,2637,1223
156,tommy,89716,39,alt_49976.jpg,Normal,3163,42,2004,12
157,tommy,30065,38,alt_62977.jpg,Normal,3164,36,2077,257
158,tommy,74226,39,alt_59469.jpg,Normal,3165,37,1596,543
159,tommy,43612,42,alt_61946.jpg,Normal,3166,37,588,1907
160,tommy,83097,36,alt_50487.jpg,Normal,3167,40,816,2710
161,tommy,38343,40,alt_62043.jpg,Reject,3168,38,2067,502
162,tommy,52152,37,alt_61465.jpg,Normal,3169,38,1144,536
163,tommy,79610,38,alt_58500.jpg,Normal,3170,42,1683,1584
164,tommy,59801,35,alt_60259.jpg,Normal,3171,35,880,657
165,tommy,54441,42,alt_61270.jpg,Normal,3172,41,2792,390
166,tommy,83197,35,alt_50487.jpg,Normal,3173,38,2629,2588
167,tommy,33273,40,alt_62534.jpg,Normal,3174,42,2509,968
168,tommy,65864,34,alt_59830.jpg,Normal,3175,37,947,1168
169,tommy,92458,43,alt_49473.jpg,Normal,3176,40,1540,506
170,tommy,43033,34,alt_61946.jpg,Reject,3177,36,754,2804
171,tommy,73735,35,alt_59469.jpg,Elliptocyte,3178,45,1285,971
172,tommy,88694,37,alt_49976.jpg,Normal,3179,41,2071,1270
173,tommy,73716,33,alt_59469.jpg,Normal,3180,41,2299,987
174,tommy,32648,34,alt_62534.jpg,Normal,3181,37,2543,1940
175,tommy,101353,39,alt_5419.jpg,Normal,3182,43,2675,297
176,tommy,94101,45,alt_7191.jpg,Normal,3183,33,2543,1398
177,tommy,45958,39,alt_61585.jpg,Normal,3184,39,1198,1359
178,tommy,40645,44,alt_62184.jpg,Normal,3185,43,862,446
179,tommy,84632,60,alt_50487.jpg,Reject,3186,50,2297,807
180,tommy,86663,41,alt_50220.jpg,Normal,3187,40,898,1019
181,tommy,32860,42,alt_62534.jpg,Normal,3188,40,1773,1602
182,tommy,51182,42,alt_61465.jpg,Normal,3189,36,2322,1644
183,tommy,33500,35,alt_62534.jpg,Normal,3190,37,1264,634
184,tommy,67907,38,alt_60036.jpg,Normal,3191,37,2186,1158
185,tommy,97991,43,alt_5294.jpg,Echinocyte,3192,42,398,1772
186,tommy,35887,41,alt_62383.jpg,Normal,3193,40,677,594
187,tommy,92350,38,alt_49473.jpg,Normal,3194,37,823,600
188,tommy,30065,38,alt_62977.jpg,Normal,3195,36,2077,257
189,tommy,86392,56,alt_50220.jpg,Reject,3196,53,133,1362
190,tommy,48014,42,alt_61873.jpg,Normal,3197,46,858,1645
191,tommy,45815,43,alt_61585.jpg,Normal,3198,45,2035,1547
192,tommy,39526,41,alt_62184.jpg,Normal,3199,40,180,1885
193,tommy,32101,40,alt_62626.jpg,Normal,3200,39,1817,25
194,tommy,45220,35,alt_61585.jpg,Normal,3201,35,2162,2289
195,tommy,30247,43,alt_62977.jpg,Normal,3202,41,1864,22
196,tommy,100166,23,alt_5419.jpg,Reject,3203,28,2673,2274
197,tommy,29888,33,alt_62977.jpg,Normal,3204,43,1161,484
198,tommy,37086,40,alt_62043.jpg,Normal,3205,40,1022,1966
199,tommy,50173,41,alt_61465.jpg,Normal,3206,39,2252,2793
200,tommy,79562,36,alt_58500.jpg,Normal,3207,44,1205,1648
201,tommy,35721,39,alt_62383.jpg,Normal,3208,43,2052,777
202,tommy,94101,45,alt_7191.jpg,Normal,3209,33,2543,1398
203,tommy,30130,38,alt_62977.jpg,Normal,3210,37,2705,171
204,tommy,32648,34,alt_62534.jpg,Echinocyte,3211,37,2543,1940
205,tommy,33221,37,alt_62534.jpg,Reject,3212,39,1787,1049
206,tommy,94101,45,alt_7191.jpg,Normal,3213,33,2543,1398
207,tommy,94101,45,alt_7191.jpg,Normal,3214,33,2543,1398
208,tommy,33721,41,alt_62534.jpg,Normal,3215,39,2059,294
209,tommy,30335,39,alt_62626.jpg,Normal,3216,38,311,2751
210,tommy,35618,40,alt_62383.jpg,Normal,3217,47,1890,902
211,tommy,55685,40,alt_61390.jpg,Normal,3218,41,2665,1189
212,tommy,28793,37,alt_62977.jpg,Normal,3219,36,2776,1984
213,tommy,64306,36,alt_59722.jpg,Schistocyte,3220,26,233,349
214,tommy,59061,43,alt_60259.jpg,Normal,3221,39,1524,1638
215,tommy,43874,36,alt_61946.jpg,Reject,3222,35,1037,1513
216,tommy,49438,37,alt_61752.jpg,Normal,3223,38,1610,2615
217,tommy,29565,38,alt_62977.jpg,Normal,3224,41,2739,911
218,tommy,85710,40,alt_50220.jpg,Normal,3225,40,2207,2257
219,tommy,100556,22,alt_5419.jpg,Reject,3226,20,1694,1625
220,tommy,65372,42,alt_59830.jpg,Normal,3227,39,2256,1781
221,tommy,62514,41,alt_60068.jpg,Normal,3228,39,184,224
222,tommy,73039,40,alt_59469.jpg,Normal,3229,41,2762,1554
223,tommy,28595,36,alt_62977.jpg,Normal,3230,37,2148,2255
224,tommy,38059,44,alt_62043.jpg,Normal,3231,42,1511,815
225,tommy,87676,40,alt_49976.jpg,Normal,3232,40,919,2516
226,tommy,86332,30,alt_50220.jpg,Echinocyte,3233,52,2803,1440
227,tommy,96865,41,alt_39177.jpg,Normal,3234,40,2428,162
228,tommy,43204,40,alt_61946.jpg,Normal,3235,40,2249,2520
229,tommy,83957,38,alt_50487.jpg,Normal,3236,32,1381,1647
230,tommy,97803,29,alt_5294.jpg,Acanthocyte,3237,42,256,1972
231,tommy,47364,43,alt_61873.jpg,Normal,3238,42,2228,2438
232,tommy,97101,38,alt_5294.jpg,Acanthocyte,3239,35,2658,2688
233,tommy,49729,42,alt_61752.jpg,Normal,3240,44,2320,1448
234,tommy,72626,39,alt_59469.jpg,Normal,3241,35,1738,1905
235,tommy,50295,42,alt_61465.jpg,Reject,3242,38,1668,2652
236,tommy,42269,40,alt_62261.jpg,Normal,3243,40,588,1059
237,tommy,90328,36,alt_49473.jpg,Normal,3244,39,1112,2315
238,tommy,79378,37,alt_58500.jpg,Reject,3245,36,479,1883
239,tommy,91728,38,alt_49473.jpg,Reject,3246,34,905,1124
240,tommy,52029,38,alt_61465.jpg,Normal,3247,38,1136,678
241,tommy,78867,42,alt_58500.jpg,Normal,3248,39,1201,2587
242,tommy,95252,44,alt_39177.jpg,Normal,3249,43,39,2704
243,tommy,60849,41,alt_60068.jpg,Normal,3250,40,2720,2175
244,tommy,60029,40,alt_60259.jpg,Normal,3251,40,1790,357
245,tommy,95179,47,alt_39177.jpg,Normal,3252,34,679,2826
246,tommy,56574,35,alt_60381.jpg,Echinocyte,3253,38,1580,2529
247,tommy,44190,35,alt_61946.jpg,Normal,3254,36,2612,981
248,tommy,31211,38,alt_62626.jpg,Normal,3255,45,1615,1364
249,tommy,31504,38,alt_62626.jpg,Reject,3256,38,2312,900
250,tommy,44482,34,alt_61946.jpg,Normal,3257,37,644,491
251,tommy,87676,40,alt_49976.jpg,Normal,3258,40,919,2516
252,tommy,70623,48,alt_59591.jpg,Reject,3259,45,1662,896
253,tommy,84520,38,alt_50487.jpg,Normal,3260,37,1871,937
254,tommy,98688,42,alt_5294.jpg,Normal,3261,38,2224,1057
255,tommy,38667,46,alt_62043.jpg,Reject,3262,46,1432,104
256,tommy,54299,34,alt_61270.jpg,Reject,3263,40,946,564
257,tommy,92460,41,alt_49473.jpg,Normal,3264,40,2604,505
258,tommy,52470,36,alt_61465.jpg,Reject,3265,46,2530,173
259,tommy,29265,40,alt_62977.jpg,Reject,3266,37,1900,1327
260,tommy,51128,41,alt_61465.jpg,Normal,3267,42,1805,1711
261,tommy,52152,37,alt_61465.jpg,Normal,3268,38,1144,536
262,tommy,88146,37,alt_49976.jpg,Reject,3269,38,1274,1941
263,tommy,55199,42,alt_61390.jpg,Normal,3270,43,1003,2020
264,tommy,49672,35,alt_61752.jpg,Normal,3271,41,361,1638
265,tommy,54310,35,alt_61270.jpg,Normal,3272,42,1349,551
266,tommy,72319,42,alt_59469.jpg,Reject,3273,57,460,2155
267,tommy,32810,40,alt_62534.jpg,Normal,3274,44,2128,1681
268,tommy,43079,38,alt_61946.jpg,Normal,3275,40,783,2727
269,tommy,47878,42,alt_61873.jpg,Normal,3276,41,2692,1805
270,tommy,28669,41,alt_62977.jpg,Reject,3277,41,2032,2147
271,tommy,66476,38,alt_59830.jpg,Normal,3278,43,755,376
272,tommy,45375,41,alt_61585.jpg,Normal,3279,43,559,2085
273,tommy,34371,68,alt_62383.jpg,Reject,3280,42,1179,2325
274,tommy,37926,40,alt_62043.jpg,Normal,3281,37,177,962
275,tommy,40773,34,alt_62184.jpg,Normal,3282,37,2611,284
276,tommy,45212,41,alt_61585.jpg,Normal,3283,38,2676,2294
277,tommy,68432,30,alt_60036.jpg,Reject,3284,40,1831,405
278,tommy,41493,42,alt_62261.jpg,Normal,3285,40,2196,2148
279,tommy,67498,36,alt_60036.jpg,Normal,3286,41,837,1743
280,tommy,74054,39,alt_59469.jpg,Normal,3287,35,1748,687
281,tommy,76309,42,alt_59351.jpg,Reject,3288,61,1708,857
282,tommy,31646,32,alt_62626.jpg,Normal,3289,39,2559,686
283,tommy,50146,35,alt_61465.jpg,Normal,3290,35,2795,2825
284,tommy,83212,35,alt_50487.jpg,Normal,3291,42,214,2574
285,tommy,68486,35,alt_60036.jpg,Normal,3292,38,2148,329
286,tommy,97618,37,alt_5294.jpg,Echinocyte,3293,40,1685,2151
287,tommy,51891,40,alt_61465.jpg,Normal,3294,41,863,824
288,tommy,53524,38,alt_61270.jpg,Normal,3295,41,1339,1622
289,tommy,47173,44,alt_61873.jpg,Normal,3296,44,208,2655
290,tommy,79409,38,alt_58500.jpg,Normal,3297,38,2505,1837
291,tommy,51145,38,alt_61465.jpg,Normal,3298,38,2795,1689
292,tommy,91135,40,alt_49473.jpg,Normal,3299,41,414,1631
293,tommy,29299,37,alt_62977.jpg,Reject,3300,37,1836,1283
294,tommy,96141,43,alt_39177.jpg,Normal,3301,41,15,1332
295,tommy,98066,40,alt_5294.jpg,Echinocyte,3302,38,1206,1692
296,tommy,83957,38,alt_50487.jpg,Normal,3303,32,1381,1647
297,tommy,32447,38,alt_62534.jpg,Normal,3304,44,1613,2296
298,tommy,72856,37,alt_59469.jpg,Normal,3305,42,1686,1709
299,tommy,97174,45,alt_5294.jpg,Echinocyte,3306,41,698,2624
300,tommy,44080,39,alt_61946.jpg,Normal,3307,39,1750,1173
301,tommy,60092,37,alt_60259.jpg,Normal,3308,38,1790,279
302,tommy,72856,37,alt_59469.jpg,Normal,3309,42,1686,1709
303,tommy,65534,37,alt_59830.jpg,Normal,3310,37,49,1574
304,tommy,98830,40,alt_5294.jpg,Echinocyte,3311,35,1980,917
305,tommy,86324,40,alt_50220.jpg,Normal,3312,37,112,1447
306,tommy,95587,38,alt_39177.jpg,Normal,3313,43,2405,2206
307,tommy,63924,47,alt_59722.jpg,Normal,3314,52,1850,916
308,tommy,53359,38,alt_61270.jpg,Normal,3315,38,2491,1834
309,tommy,97351,54,alt_5294.jpg,Reject,3316,47,310,2453
310,tommy,72856,37,alt_59469.jpg,Normal,3317,42,1686,1709
311,tommy,60813,41,alt_60068.jpg,Normal,3318,38,1350,2225
312,tommy,46181,41,alt_61585.jpg,Normal,3319,42,1063,1097
313,tommy,29657,39,alt_62977.jpg,Normal,3320,39,2211,798
314,tommy,98624,36,alt_5294.jpg,Echinocyte,3321,47,126,1116
315,tommy,30335,39,alt_62626.jpg,Normal,3322,38,311,2751
316,tommy,51942,36,alt_61465.jpg,Normal,3323,39,1319,776
317,tommy,76631,37,alt_59351.jpg,Normal,3324,39,1530,422
318,tommy,98414,39,alt_5294.jpg,Echinocyte,3325,36,1433,1324
319,tommy,100231,46,alt_5419.jpg,Normal,3326,41,631,2165
320,tommy,91855,53,alt_49473.jpg,Reject,3327,45,2536,1012
321,tommy,97966,34,alt_5294.jpg,Normal,3328,39,2409,1794
322,tommy,69398,25,alt_59591.jpg,Reject,3329,17,2282,2161
323,tommy,65042,36,alt_59830.jpg,Normal,3330,37,2465,2215
324,tommy,68030,40,alt_60036.jpg,Normal,3331,40,2610,975
325,tommy,81652,37,alt_50604.jpg,Normal,3332,35,347,1702
326,tommy,72369,42,alt_59469.jpg,Reject,3333,56,1448,2117
327,tommy,54943,40,alt_61390.jpg,Normal,3334,40,125,2485
328,tommy,50839,40,alt_61465.jpg,Normal,3335,37,481,2056
329,tommy,58044,43,alt_60381.jpg,Echinocyte,3336,39,1502,155
330,tommy,72856,37,alt_59469.jpg,Normal,3337,42,1686,1709
331,tommy,55727,35,alt_61390.jpg,Normal,3338,44,989,1111
332,tommy,32592,79,alt_62534.jpg,Reject,3339,49,2191,2028
333,tommy,65063,32,alt_59830.jpg,Reject,3340,30,2782,2195
334,tommy,54093,39,alt_61270.jpg,Normal,3341,41,139,874
335,tommy,37531,46,alt_62043.jpg,Normal,3342,40,161,1428
336,tommy,79812,34,alt_58500.jpg,Normal,3343,35,1377,1305
337,tommy,52029,38,alt_61465.jpg,Normal,3344,38,1136,678
338,tommy,72887,31,alt_59469.jpg,Schistocyte,3345,29,1707,1684
339,tommy,50728,37,alt_61465.jpg,Normal,3346,39,2248,2176
340,tommy,89009,37,alt_49976.jpg,Normal,3347,42,1519,883
341,tommy,76245,47,alt_59351.jpg,Normal,3348,45,324,940
342,tommy,88146,37,alt_49976.jpg,Reject,3349,38,1274,1941
343,tommy,40838,37,alt_62184.jpg,Normal,3350,45,899,209
344,tommy,28445,37,alt_62977.jpg,Normal,3351,38,1995,2458
345,tommy,98358,53,alt_5294.jpg,Echinocyte,3352,57,2327,1381
346,tommy,50739,38,alt_61465.jpg,Normal,3353,38,2374,2163
347,tommy,52822,38,alt_61270.jpg,Normal,3354,40,1204,2538
348,tommy,55261,41,alt_61390.jpg,Normal,3355,40,1036,1911
349,tommy,90043,58,alt_49473.jpg,Reject,3356,37,319,2563
350,tommy,100750,40,alt_5419.jpg,Normal,3357,42,1537,1263
351,tommy,96141,43,alt_39177.jpg,Normal,3358,41,15,1332
352,tommy,58596,40,alt_60259.jpg,Normal,3359,40,2659,2260
353,tommy,51128,41,alt_61465.jpg,Normal,3360,42,1805,1711
354,tommy,97801,37,alt_5294.jpg,Echinocyte,3361,39,2410,1975
355,tommy,58502,41,alt_60259.jpg,Normal,3362,38,509,2400
356,tommy,45490,36,alt_61585.jpg,Normal,3363,39,598,1938
357,tommy,87693,43,alt_49976.jpg,Normal,3364,44,1476,2498
358,tommy,94762,43,alt_7191.jpg,Normal,3365,43,1886,491
359,tommy,75027,41,alt_59351.jpg,Normal,3366,50,647,2645
360,tommy,47086,40,alt_61873.jpg,Normal,3367,42,192,2767
361,tommy,75124,49,alt_59351.jpg,Normal,3368,40,2296,2502
362,tommy,49074,33,alt_61873.jpg,Dacrocyte,3369,51,888,372
363,tommy,34504,36,alt_62383.jpg,Reject,3370,38,637,2175
364,tommy,44099,39,alt_61946.jpg,Normal,3371,40,2686,1126
365,tommy,57966,40,alt_60381.jpg,Echinocyte,3372,43,2275,270
366,tommy,51919,42,alt_61465.jpg,Normal,3373,39,2273,798
367,tommy,70683,41,alt_59591.jpg,Normal,3374,37,1133,837
368,tommy,74054,39,alt_59469.jpg,Normal,3375,35,1748,687
369,tommy,73874,37,alt_59469.jpg,Normal,3376,40,2172,843
370,tommy,70735,36,alt_59591.jpg,Normal,3812,44,317,779
371,tommy,41342,62,alt_62261.jpg,Reject,3813,40,1999,2356
372,tommy,73858,36,alt_59469.jpg,Normal,3814,36,933,857
373,tommy,47173,44,alt_61873.jpg,Normal,3815,44,208,2655
374,tommy,92540,36,alt_49473.jpg,Normal,3816,37,313,446
375,tommy,72142,37,alt_59469.jpg,Normal,3817,38,2566,2302
376,tommy,30050,41,alt_62977.jpg,Normal,3818,39,88,277
377,tommy,76880,43,alt_59351.jpg,Normal,3819,38,2734,87
378,tommy,57675,38,alt_60381.jpg,Normal,3820,39,1463,714
379,tommy,85586,39,alt_50220.jpg,Normal,3821,42,483,2409
380,tommy,43329,39,alt_61946.jpg,Normal,3822,41,1303,2345
381,tommy,83955,43,alt_50487.jpg,Normal,3823,41,660,1649
382,tommy,96639,42,alt_39177.jpg,Normal,3824,40,158,522
383,tommy,38890,37,alt_62184.jpg,Normal,3825,39,136,2690
384,tommy,61225,40,alt_60068.jpg,Normal,3826,39,56,1735
385,tommy,86324,40,alt_50220.jpg,Reject,3827,37,112,1447
386,tommy,54441,42,alt_61270.jpg,Normal,3828,41,2792,390
387,tommy,40572,36,alt_62184.jpg,Normal,3829,37,1312,530
388,tommy,72595,33,alt_59469.jpg,Normal,3830,36,2295,1929
389,tommy,99901,40,alt_5419.jpg,Normal,3831,35,2302,2727
390,tommy,34096,39,alt_62383.jpg,Normal,3832,39,2484,2624
